path_no,x(m),y(m)
270,2.5879659974752136,0.6312212319219264
271,2.6140495444742347,0.6308642831146454
272,2.6399997021753254,0.6304900567228291
273,2.6659276398789555,0.6300858135268972
274,2.691942861445881,0.6296440791075101
275,2.718025911732109,0.629168532413226
276,2.743968826571341,0.6286793157821335
277,2.769891937613517,0.6281748790773093
278,2.795904561613673,0.6276639638365535
279,2.821986484650445,0.6271240199449043
280,2.847926319899432,0.626573511351519
281,2.8738491367038055,0.6260109491672996
282,2.8998610570641996,0.6254440853555033
283,2.925942124460491,0.6248528581846149
284,2.9518801408591733,0.6242524646474112
285,2.977802394727351,0.6236426286055231
286,3.0038120684999132,0.6230336128422277
287,3.0298872263082717,0.6224199953247248
288,3.05582799709831,0.6218108222579111
289,3.0817510081003237,0.6211928241989004
290,3.107761673320977,0.6205757341872041
291,3.1338366271092974,0.6199539866627405
292,3.1597752638775725,0.6193367129289234
293,3.1856988965324544,0.6187106171667451
294,3.211710378680759,0.6180854074582426
295,3.237781280325942,0.6174618746962381
296,3.26371145375759,0.6168679495764735
297,3.2896255106959065,0.6162941781845809
298,3.3156183564998916,0.6157845824837019
299,3.34167214282011,0.615397399270011
300,3.367585333466038,0.6151702560862987
301,3.3934715402074658,0.615078464685827
302,3.4194651739242263,0.6151129426862411
303,3.4445948992977176,0.6152709689329098
304,3.469217309747164,0.6155410276608021
305,3.4936853189108223,0.6158530337003757
306,3.5196739145591702,0.616201326269183
307,3.5457209262882894,0.6166279283498908
308,3.5716658587667918,0.6171370716418489
309,3.597548579960532,0.6177179002835234
310,3.623532434586176,0.6183656598205896
311,3.6495803490430605,0.6190665638456677
312,3.6755413351603194,0.6198085991982814
313,3.701419421421935,0.6205811755615348
314,3.727402924129281,0.6213961165724257
315,3.753447697235787,0.6222520499451879
316,3.7793879582868413,0.6231428957099411
317,3.8052319328389697,0.6241308915720929
318,3.831194132828745,0.6252111837144403
319,3.857211136893143,0.6263726032649138
320,3.8831499255396125,0.6275948346775407
321,3.9089844315048228,0.6288622332229025
322,3.9349560705237745,0.6301544223903507
323,3.9609793279493757,0.6314549989485628
324,3.9869336418423904,0.632736767866609
325,4.012806317096072,0.6340060078615174
326,4.038784539604886,0.6352758755250347
327,4.064810494891224,0.6365489369308773
328,4.090765218706677,0.6378026082852004
329,4.1166383794091,0.6390372415685774
330,4.14263037566337,0.6402519464053811
331,4.1686741663431714,0.641428446931629
332,4.194639646969681,0.6425469649142369
333,4.220533481616761,0.6436050460998183
334,4.24653617529481,0.644621138536459
335,4.272589906473399,0.645610671446034
336,4.29854774144377,0.6465611018727516
337,4.324441892120708,0.6474778440825953
338,4.350448627851563,0.648362300900253
339,4.376519446415811,0.649217284481691
340,4.402478152864717,0.6500080513603379
341,4.428386633978786,0.6507617276197067
342,4.454399644967556,0.6514871803346592
343,4.480476742458853,0.6521821317893718
344,4.506431261613919,0.6528182165115222
345,4.532348737278506,0.6534178770305503
346,4.558366824764936,0.6539928869292647
347,4.584449179036202,0.6545366705298499
348,4.610400248597217,0.6550272639703004
349,4.636327624384404,0.655474837023884
350,4.662351865103945,0.655884577324614
351,4.688436236353464,0.6562651983585395
352,4.714375588429153,0.6566194856993508
353,4.740299572077486,0.6569714688212573
354,4.7663174840892335,0.657323968524108
355,4.792399806509601,0.6576712798726259
356,4.818335879386817,0.6579953475786562
357,4.8442699664211215,0.658298399076442
358,4.870293069354357,0.6585765200647574
359,4.896376553160376,0.6588491673985983
360,4.922307553491266,0.6591064051304836
361,4.948243098936094,0.6593493403114181
362,4.974273410592836,0.6595628167083668
363,5.000360286420052,0.6597481337488511
364,5.026288278076701,0.6599229422784795
365,5.052225327143438,0.6600865513794284
366,5.078256266881616,0.6602254088909383
367,5.104349149033885,0.6603333667121647
368,5.130275275040605,0.660419407859821
369,5.156211663859808,0.6605020928623023
370,5.182241601413766,0.6605745338474603
371,5.208334999987675,0.660621759679787
372,5.234272199080169,0.6606504049805804
373,5.260205725212737,0.6606794912289168
374,5.286235359211698,0.6607048927120857
375,5.312327551400227,0.6607129459702298
376,5.338268926234151,0.6607090443274257
377,5.364208085059483,0.660703811649651
378,5.390238557454879,0.6606962192045005
379,5.416330705125504,0.6606744759753757
380,5.4422773530956565,0.6606433238867477
381,5.468216572134274,0.660608780016409
382,5.4942485404100525,0.6605713962776218
383,5.520341544258167,0.660516604171746
384,5.546294480077617,0.6604522816564844
385,5.572234029826749,0.6603836284091598
386,5.59826230326376,0.6603183797569313
387,5.624352987529058,0.6602466581685404
388,5.650287940050885,0.6601616112951887
389,5.676229721745396,0.6600657978832558
390,5.702260394014195,0.6599689145574221
391,5.728353041477736,0.6598575109997162
392,5.7543115089911465,0.6597386182196279
393,5.780251844857225,0.6596144919903149
394,5.806283098700203,0.6594914167039871
395,5.832353229617106,0.6593610780981172
396,5.858290461312583,0.6592266763221785
397,5.884231384956335,0.6590857528151323
398,5.910262602000629,0.6589477625777957
399,5.9363302256405985,0.6588087621227579
400,5.962265711155333,0.6586655525382034
401,5.9882076331598935,0.6585160271063476
402,6.014239954935857,0.6583693444721296
403,6.040306126069575,0.6582215878246197
404,6.066240423641647,0.658069354455486
405,6.092183278461098,0.6579109982308917
406,6.1182165241388535,0.6577553688232164
407,6.144281089630642,0.6575985223788356
408,6.170214202147633,0.6574370004830478
409,6.194947789756865,0.6572654826322102
410,6.220519316437803,0.657102336075597
411,6.246566060329458,0.6570648473366936
412,6.272482885046248,0.657174563479335
413,6.298380899061977,0.6574018114841975
414,6.324380871323022,0.657754418720662
415,6.350462269540503,0.6581923331163306
416,6.376385595465601,0.6586121239123143
417,6.40233037888718,0.6590023999340991
418,6.428367670148894,0.6593586497208034
419,6.454451853091478,0.6596856126268253
420,6.479806576362667,0.6599706060687807
421,6.505258174559135,0.6602209175694015
422,6.531289024217127,0.6604554352187635
423,6.55737550571871,0.6606704328431152
424,6.583311941217694,0.6608622932642111
425,6.609254993327921,0.6610204614621231
426,6.635287328035487,0.6611521885561913
427,6.661375039559358,0.661267967682292
428,6.687294501456461,0.6613748938004204
429,6.713235771563319,0.661471735019828
430,6.739270474113296,0.6615441757963109
431,6.765359280957796,0.6615970084832032
432,6.791288546916681,0.6616467654749608
433,6.817227563798572,0.6616922710669122
434,6.843261910516919,0.6617193060175637
435,6.869349731898429,0.6617353172729258
436,6.895278831162019,0.6617525256842778
437,6.921218907347545,0.6617639742671713
438,6.947254065261414,0.6617599154895795
439,6.973344401353246,0.6617447737079283
440,6.999274569596598,0.6617332271687881
441,7.025215937991134,0.6617116442771717
442,7.0512528508542545,0.6616740359017418
443,7.077330976980066,0.6616219607387583
444,7.103257467621743,0.6615720374842815
445,7.129199321303526,0.6615177435542613
446,7.15523580354407,0.6614602179276594
447,7.181330122097696,0.6613837159470929
448,7.207280131987531,0.6612974950400885
449,7.233223295588561,0.6612064164996543
450,7.259255933758831,0.6611183858423386
451,7.285347000848683,0.6610228941152225
452,7.311276113369802,0.6609169505888376
453,7.337221927397734,0.6607957617448894
454,7.363255724786653,0.6606772113719058
455,7.389321421265489,0.660556349575399
456,7.415256580141956,0.6604340355102936
457,7.441200242122782,0.6603050929108292
458,7.4672348604910805,0.6601789655897252
459,7.493298776759164,0.6600508034309923
460,7.519232998987772,0.6599201056061291
461,7.545177776495112,0.6597829048486863
462,7.571213327864055,0.6596483963660823
463,7.597275209413674,0.6595117569165858
464,7.623208377984318,0.6593722761670848
465,7.649154467890376,0.6592265868961409
466,7.675191118354443,0.6590834358352906
467,7.701251017669119,0.6589380582922817
468,7.727183676697309,0.6587896727479442
469,7.753130675521214,0.658635225275758
470,7.779168238450617,0.6584832097551624
471,7.805226033543414,0.6583288866267046
472,7.831157603262733,0.6581714715759284
473,7.857105749782447,0.6580081787828521
474,7.883144394484716,0.657847199543983
475,7.909200167613238,0.6576837878837569
476,7.935130496619985,0.6575172794190759
477,7.9610796107507955,0.6573451416150708
478,7.987119160748577,0.6571752109426552
479,8.013172796303747,0.6570027316660922
480,8.039102778703972,0.6568271924980938
481,8.065052953246692,0.6566461313180549
482,8.091093571524565,0.6564671808862292
483,8.117145084838588,0.6562855826111073
484,8.143066183728447,0.6560967511655587
485,8.169018471761865,0.6558906064992375
